name,fy,fp,net_income,revenue,revenue_yoy,revenue_qoq,profit_margin
ALLSTATE LIFE INSURANCE CO,2015.0,FY,-38000000.0,4228000000.0,,,-0.008987701040681173
ALLY FINANCIAL INC.,2015.0,FY,361000000.0,4263000000.0,,,0.08468214872155759
"ALNYLAM PHARMACEUTICALS, INC.",2015.0,FY,-89225000.0,,,,
"ALON USA ENERGY, INC.",2015.0,FY,22986000.0,,,,
ALP LIQUIDATING TRUST,2015.0,FY,-1510835.0,4534.0,,,-333.22342302602556
ALPHA & OMEGA SEMICONDUCTOR LTD,2015.0,FY,-5575000.0,,,,
ALPHA & OMEGA SEMICONDUCTOR LTD,2016.0,Q2,-1297000.0,,,,
ALPHA PRO TECH LTD,2015.0,FY,2742000.0,,,,
ALPHA-EN CORP,2013.0,FY,-9433.0,0.0,,,-inf
ALPHABET INC.,2015.0,FY,12733000000.0,55519000000.0,,,0.22934490895008916
"ALPHATEC HOLDINGS, INC.",2015.0,FY,-82227000.0,204724000.0,,,-0.40164807252691426
"ALPHATEC HOLDINGS, INC.",2015.0,Q2,-2895000.0,53167000.0,,-0.7402991344444227,-0.054451069272292964
"ALPHATEC HOLDINGS, INC.",2015.0,Q3,-3041000.0,51013000.0,,-0.04051385257772677,-0.05961225569952757
ALPINE 4 TECHNOLOGIES LTD.,2015.0,FY,-605234.0,21840.0,,,-27.712179487179487
"ALST CASINO HOLDCO, LLC",2015.0,FY,-5261000.0,,,,
"ALTA MESA HOLDINGS, LP",2015.0,FY,-153715000.0,355792000.0,,,-0.43203613347124165
ALTAIR INTERNATIONAL CORP.,2015.0,Q3,-2625.0,,,,
"ALTEGRIS QIM FUTURES FUND, L.P.",2015.0,FY,-7433046.0,,,,
"ALTEGRIS WINTON FUTURES FUND, L.P.",2015.0,FY,21666640.0,,,,
ALTERNATIVE INVESTMENT CORP,2015.0,FY,-102417.0,,,,
ALTERNATIVE INVESTMENT CORP,2016.0,Q1,-18865.0,,,,
ALTERNET SYSTEMS INC,2015.0,FY,,0.0,,,
ALTEROLA BIOTECH INC.,2016.0,Q1,,0.0,,,
ALTEX INDUSTRIES INC,2016.0,Q1,-73000.0,23000.0,,,-3.1739130434782608
ALTISOURCE ASSET MANAGEMENT CORP,2015.0,FY,-5293000.0,72297000.0,,,-0.07321188984328533
ALTISOURCE PORTFOLIO SOLUTIONS S.A.,2015.0,FY,,768357000.0,,,
ALTISOURCE RESIDENTIAL CORP,2015.0,FY,39596000.0,72297000.0,,,0.5476852428178209
ALTRA INDUSTRIAL MOTION CORP.,2015.0,FY,40275000.0,,,,
"ALTRIA GROUP, INC.",2015.0,FY,4535000000.0,,,,
AMAIZE BEVERAGE CORP,2016.0,Q2,-87135.0,,,,
AMANASU TECHNO HOLDINGS CORP,2015.0,FY,-99553.0,0.0,,,-inf
AMARILLO BIOSCIENCES INC,2015.0,FY,,0.0,,,
AMARIN CORP PLCUK,2015.0,FY,-166227000.0,,,,
"AMAZING ENERGY OIL & GAS, CO.",2016.0,Q2,-271291.0,,,,
AMAZON COM INC,2015.0,FY,274000000.0,,,,
AMBARELLA INC,2015.0,FY,25654000.0,157608000.0,,,0.1627709253337394
AMBASE CORP,2015.0,FY,14421000.0,,,,
AMBER GROUP INC,2015.0,FY,-4325.0,0.0,,,-inf
AMBER GROUP INC,2016.0,Q1,-122.0,0.0,,,-inf
"AMBER ROAD, INC.",2015.0,FY,-14397870.0,,,,
"AMC ENTERTAINMENT HOLDINGS, INC.",2015.0,FY,,2749428000.0,,,
AMC ENTERTAINMENT INC,2015.0,FY,,2749428000.0,,,
AMC NETWORKS INC.,2015.0,FY,290738000.0,,,,
AMCON DISTRIBUTING CO,2016.0,Q1,1546030.0,,,,
AMEDICA CORP,2015.0,FY,-32582000.0,,,,
AMEDISYS INC,2015.0,FY,-96178000.0,,,,
AMERCO /NV/,2015.0,Q3,66540000.0,706355000.0,,,0.09420192396174729
AMEREN CORP,2015.0,FY,289000000.0,5838000000.0,,,0.049503254539225765
"AMERESCO, INC.",2015.0,FY,2414000.0,,,,
"AMERI HOLDINGS, INC.",2015.0,FY,414560.0,,,,
"AMERI METRO, INC. (FORMERLY YELLOWWOOD)",2016.0,Q2,,0.0,,,
"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",2015.0,FY,17714919.0,44286978.0,,,0.4000028857241061
"AMERICA GREENER TECHNOLOGIES, INC.",2016.0,Q2,-375494.0,475257.0,,,-0.7900862059896014
